序号,作者昵称,讨论标题,回应数,帖子网址
22,韦尔希宁,如果我是小镇学习家的话，我的父母就是做梦练习生。,184,https://www.douban.com/group/topic/180673700/
23,今样,我们就是比大多数人强（被骂出逆反心理）气死我了气死我了,79,https://www.douban.com/group/topic/180502688/
24,你猜我是谁啊,关于回老家做gwy可能遇到的问题分享,202,https://www.douban.com/group/topic/181001527/
25,已注,分享一点自己从five到不那么five的经验,49,https://www.douban.com/group/topic/181579390/
26,已注,分享一点自己从five到不那么five的经验,49,https://www.douban.com/group/topic/181579390/
27,连三思,大怎么看待学科的“气质”？,92,https://www.douban.com/group/topic/181754117/
28,南山新垣结衣,工作后周围完全就没有学历OK的异性怎么办,188,https://www.douban.com/group/topic/181451236/
29,小镇只会做题家,花家里一半积蓄出国读研自私吗,371,https://www.douban.com/group/topic/180730358/
30,清醒一下,哪个城市比较宜居,323,https://www.douban.com/group/topic/181525547/
31,Celaris,各行业公司待遇水平讨论，怎么找到闷声发大财的单位,300,https://www.douban.com/group/topic/180438065/
32,SchönenTag,突发奇想了个five相关词汇表/Five lexicology,119,https://www.douban.com/group/topic/180101264/
33,umaso,什么时候才不歧视文科呢？（新增投票）,96,https://www.douban.com/group/topic/181752660/
34,你不要天天想着,巨额违约金放弃部委 准备去欧洲小众国家读研 求打醒,227,https://www.douban.com/group/topic/180868928/
35,火芒,这不是985职业生涯咨询小组,38,https://www.douban.com/group/topic/181676735/
36,cindyblue,我跟柜的老师是上交本硕,122,https://www.douban.com/group/topic/181412454/
37,宾果花,有fiver喜欢看耽美小说吗，耽美小说已经开始内卷了,110,https://www.douban.com/group/topic/181515638/
38,saaaaaadddd,关于英语口语大家用什么app练习呢,117,https://www.douban.com/group/topic/180775905/
39,Quarter,为什么要求写300字的作业，总有人写10000字？？,286,https://www.douban.com/group/topic/180393595/
40,哟哟秦,上交硕 985本 去学而思当高中老师正常吗？,191,https://www.douban.com/group/topic/181447553/
41,小燕壮士233,新闻学的我面试完之后痛骂自己为什么要读新闻这个专业,70,https://www.douban.com/group/topic/181592609/
42,发发,研究生退学，可能是本组目前最five的人。,424,https://www.douban.com/group/topic/179753209/
43,我会上网啦,大家每天都睡几个小时？睡不够八小时就难受的我是不是真的很猪？,111,https://www.douban.com/group/topic/181354367/
44,人丑就该多读书,今天送外卖了,62,https://www.douban.com/group/topic/181638575/
45,夏天西瓜大冰碗,不是吧小镇做题家竟然变成了高中语文辅导机构作文练习评讲题之一？,79,https://www.douban.com/group/topic/181149839/
46,博物君🌎,你们学校有那种年长的 思想很陈旧的女教授吗……,165,https://www.douban.com/group/topic/180908813/
47,pts,碎片化阅读降低阅读理解和表达能力 一个被电子产品绑架的five,93,https://www.douban.com/group/topic/180384171/
48,已注销,【进组审核】暂时设置成组员邀请了‼️,57,https://www.douban.com/group/topic/181708754/
49,bo良ki影,能不能尽快实行审核进组啊😢🍑过了或者不能🍑我就删（内含投票）,82,https://www.douban.com/group/topic/181682712/
50,Hi_Valeria,你个FIVE要继续苟且偷生才行啊__211+500强+留学，我还是跳不出小镇做题家的困局,169,https://www.douban.com/group/topic/180738697/
51,tsin,"各位five er是怎么看待""没钱别生孩子""理论啊",381,https://www.douban.com/group/topic/180370076/
52,颤颤桑,总结教训给小Fi们一点初入职场的Tips,49,https://www.douban.com/group/topic/180473625/
53,Cicilia,无意冒犯 想问问组里来自（中小学）教师家庭的多吗,145,https://www.douban.com/group/topic/181203657/
54,linwatson,广州的那些图书馆太好了,38,https://www.douban.com/group/topic/181284192/
55,furry,我不知道自己算不算five，但精神和心理的苦实在太痛了,206,https://www.douban.com/group/topic/180658302/
56,长安不良帅,讨论&咨询|有没有同学有一起做一个“废物聚集地”之类的网站的想法?,204,https://www.douban.com/group/topic/180880250/
57,Joes,从农村到211 绕来绕去的原生家庭与人格健全之路,53,https://www.douban.com/group/topic/181127028/
58,🎃,感觉985211冷门不如学飞,71,https://www.douban.com/group/topic/181724290/
59,[已注销],985标准five的心酸，five不可怕，专业毁一生,225,https://www.douban.com/group/topic/180814840/
60,Camille,有没有组员压力大时候，就有暴食倾向（高油高甜高热量等食品）→整理楼内建议在最后,207,https://www.douban.com/group/topic/180579547/
61,玉暖,有没有像我一样，父母是我活下去的最大动力,80,https://www.douban.com/group/topic/181159689/
62,每天都很无聊,有重点高中five吗,99,https://www.douban.com/group/topic/181283716/
63,总有人脑子有坑,学音乐是不是真没出路,71,https://www.douban.com/group/topic/181697382/
64,[已注销],废物集合，写下你们两年内必须完成的目标，两年后再来帖子看看,184,https://www.douban.com/group/topic/180989721/
65,地下室的玛莎,有没有不敢去学车的……,106,https://www.douban.com/group/topic/181364683/
66,卢佩斯库,有没有真的很讨厌自己学校的five？,142,https://www.douban.com/group/topic/181030344/
67,Quarter,有没有fiver和我一样失去爱别人的能力了,177,https://www.douban.com/group/topic/180941708/
68,KatherineH,来five组当爹/卖成功学 真的很好笑……,36,https://www.douban.com/group/topic/181646104/
69,十日,有five在看乘风破浪的姐姐吗，海陆说话真的是……,119,https://www.douban.com/group/topic/180013231/
70,蓝,985金融本科five 考了三次研都没上 去了我以前从没想过的国企,74,https://www.douban.com/group/topic/181156242/
71,㕝,学那么多语言真的有用吗？,87,https://www.douban.com/group/topic/181620495/
72,脸滚键盘653794,文职招考：限定性别岗 男女岗位数量比——10142：848,150,https://www.douban.com/group/topic/180745276/
73,萧亚轩的快乐,开小组审核的理由,34,https://www.douban.com/group/topic/181700586/
74,哈哈专用小马甲,被拿到大厂offer的双非同学暗嘲,118,https://www.douban.com/group/topic/181303897/
75,代答,大家觉得去体制内做老师怎么样？,152,https://www.douban.com/group/topic/181069795/
76,代答,大家觉得去体制内做老师怎么样？,152,https://www.douban.com/group/topic/181069795/
77,Agatha,讨论&咨询｜大家有自己的爱好吗,178,https://www.douban.com/group/topic/180723580/
78,persistence,抬头一看组员数七万多了…可能很快就不是以前的five组了,53,https://www.douban.com/group/topic/181677853/
79,开,不支持锁组。请管理员再三考虑。（更新关于审核和锁组）,52,https://www.douban.com/group/topic/181692873/
80,月,你们学校有傅玉敏这样的人吗？,99,https://www.douban.com/group/topic/181489548/
81,淮南皓月,请问有兄弟姐妹们感受到来自对象的peer pressure了吗？,153,https://www.douban.com/group/topic/180783449/
82,勃学学士,本fi中five说一说自己的经历，希望朋友们能指条明路,91,https://www.douban.com/group/topic/181494528/
83,Rose,罹患黑暗惊恐后我的人生被打乱了。,110,https://www.douban.com/group/topic/180986061/
84,小狗也说不知道,大家有没有那种感觉，就是一闲下来就会很焦虑，完全不会享受生活,121,https://www.douban.com/group/topic/180176133/
85,博物君🌎,你们能接受自己的孩子很普通平凡吗？？,256,https://www.douban.com/group/topic/180283549/
86,yummy,大学四年 学习成绩一般 没谈过恋爱 不知道自己都干啥了 还有比我更five的人吗,140,https://www.douban.com/group/topic/181356092/
87,浅墨白,我看你们都是假惨，我是真惨,229,https://www.douban.com/group/topic/180430705/
88,豪安,留学生要崩溃了,99,https://www.douban.com/group/topic/180682656/
89,江湖骗子,大家看了28岁退休的程序员了嘛,82,https://www.douban.com/group/topic/180470256/
90,(=・ω・=),如果用一个关键词形容你们目前为止的人生，你们会用什么？,145,https://www.douban.com/group/topic/181103006/
91,魔斯拉,翻原来的摘抄本发现原来我在17年已经预言了我自己,47,https://www.douban.com/group/topic/180450201/
92,只想默默潜水,我真的觉得活着是件特别没有意义的事,86,https://www.douban.com/group/topic/181224130/
93,鸡茸金丝笋,这是不是peer pressure产生的原因,30,https://www.douban.com/group/topic/180747730/
94,寒月残颢,【工科】物理类博士可以转什么行？迷茫中,110,https://www.douban.com/group/topic/181162973/
95,穆菲子,让父母也感受到了peer pressure,42,https://www.douban.com/group/topic/181702356/
96,mama,上半年要结束了，淦，躺了半年,82,https://www.douban.com/group/topic/181361065/
97,奥特曼,妈的！我吐了，隔壁组骂我们组,142,https://www.douban.com/group/topic/180948188/
98,喜欢背单词,深感自己被消费主义洗脑了浅薄到可怕,106,https://www.douban.com/group/topic/180157581/
99,想注销,有人有睡眠时相延迟障碍（DSPD）吗,61,https://www.douban.com/group/topic/181545768/
100,Tina,想去美国读CS硕博但是需要借债，还考虑出国吗？,156,https://www.douban.com/group/topic/180912850/
101,可开心了,这个废物标准可还行？,30,https://www.douban.com/group/topic/181738946/
102,豆友184546459,已删,56,https://www.douban.com/group/topic/181403987/
103,八宝粥,怎么破解“廉价感”，偏远农村five深夜难过到不行😔,40,https://www.douban.com/group/topic/181130082/
104,阿零,努力是不是一种天赋,74,https://www.douban.com/group/topic/181213808/
105,Накадима,出生21年了，感觉自己从未真正活过，大学三年，像畜牲一样活着,103,https://www.douban.com/group/topic/180981612/
106,举个丽子,想了好多还是想丁克，可以劝住我吗？,111,https://www.douban.com/group/topic/181121708/
107,一辻,985five小镇做题家真的不努力吗,64,https://www.douban.com/group/topic/180514485/
108,朝夕朝夕爱学习,为什么要限制优秀率，让我们无限内耗？,250,https://www.douban.com/group/topic/180237508/
109,豆友198298066,考研辅导机构|研究生学长学姐|是如何PUA考生|为自己赚到一套房子的|,58,https://www.douban.com/group/topic/181410959/
110,zero,二战计算机or生物专业,61,https://www.douban.com/group/topic/181539517/
111,咕咕咕,我居然在家玩了半年……马上七月了我才开始复习考研…,47,https://www.douban.com/group/topic/181710290/
112,灰灰小,粉雄救兵第2季第6集太治愈了，挂科延毕天天打游戏的“肥宅”慢慢走出来了,41,https://www.douban.com/group/topic/181110414/
113,Claudette🎄,不知道有没有人和我一样 毫无原因的自卑感,114,https://www.douban.com/group/topic/180789151/
114,野踪仙,60后小镇做题家及在城市长大的第二代（上）,36,https://www.douban.com/group/topic/180829545/
115,larch,文史哲专业怎么没有评选一个类似于“生化环材”的几大天坑专业？,86,https://www.douban.com/group/topic/181340336/
116,呵气成冰,大学里为毛不设立公务员学院？,53,https://www.douban.com/group/topic/181411377/
117,拌饭拜拜,和尚也不好当,42,https://www.douban.com/group/topic/181576190/
118,ColinFinch,这个日剧第一集真实的让人落泪（尤其文科）,94,https://www.douban.com/group/topic/179698691/
119,妙妙圆,打脸成功的青春片在生活中的真正结局,103,https://www.douban.com/group/topic/180595810/
120,黑皮大魔王,留学仿佛是一个错误的决定,74,https://www.douban.com/group/topic/181128279/
121,江夏,真的想去当tony老师,68,https://www.douban.com/group/topic/181033332/
122,子野,能不能不要再变相秀优越了？,195,https://www.douban.com/group/topic/179934596/
123,野踪仙,60后小镇做题家及在城市长大的第二代（下）,37,https://www.douban.com/group/topic/181270312/
124,樱樱子,有没有英语光速退化的…,148,https://www.douban.com/group/topic/180420830/
125,何时才能考六级,球球各大公众号不要再消费这个小组还有“小镇做题家”这个话题了,40,https://www.douban.com/group/topic/181461851/
126,孤云饮山,有在出版社或出版公司做图书编辑的朋友吗？,78,https://www.douban.com/group/topic/181392276/
127,你今天拉屎了吗,工作之后就不太愿意为爱豆们消费了，觉得赚钱太辛苦了……,192,https://www.douban.com/group/topic/180256842/
128,许杨玉琢,商科five的券商执念,134,https://www.douban.com/group/topic/180828532/
129,Charlotte,海外欧洲本真的读不下去了 每学期都在重修 不停挂科 好绝望。,83,https://www.douban.com/group/topic/180527139/
130,贾玲,每门课都比别人少几分，不知不觉就成了five,117,https://www.douban.com/group/topic/180828506/
131,江湖骗子,有没有five的原因是自己老是给自己造舒适区的？,140,https://www.douban.com/group/topic/180607249/
132,夜色深处,自我反思，走极端的性格或许是我five的根源,84,https://www.douban.com/group/topic/180624592/
133,全糖去冰菠萝汁,有没有追星把自己追成了five的😭,243,https://www.douban.com/group/topic/180314499/
134,江湖骗子,一个猜想，本组会不会被钓鱼了,28,https://www.douban.com/group/topic/181716227/
135,http,某音对本组的评价🙄,80,https://www.douban.com/group/topic/181503652/
136,Jessie,five出现，已经工作多年28岁的985本，想读研的话只能继续读985，有啥好考的学校建议下,80,https://www.douban.com/group/topic/181464447/
137,火舌,211只配给中专打工,75,https://www.douban.com/group/topic/180956714/
138,江湖骗子,。,60,https://www.douban.com/group/topic/181264694/
139,柒宝粥,秋招至今0offer,73,https://www.douban.com/group/topic/181279287/
140,饿了,医学生想跨艺术/文科研可行吗,135,https://www.douban.com/group/topic/180890852/
141,来自地球,裸辞掉了薪水不错的工作然后家里蹲了一年,55,https://www.douban.com/group/topic/181273900/
142,不会吧阿sir,本组成员是不是都收到了豆瓣的关心,153,https://www.douban.com/group/topic/180669960/
143,李进步,咱们组这么多做题家能不能联合起来做件事,169,https://www.douban.com/group/topic/180411627/
144,-,绩点低/想跨专业重新开始的做题家看这里 分享一点留日经验教训,60,https://www.douban.com/group/topic/180739577/
145,肥宅,父母也看清了我是个只有学历的five,72,https://www.douban.com/group/topic/180850376/
146,en,不是所有的人活着都有意义，我也许是个凑数的。,54,https://www.douban.com/group/topic/181170425/
147,不想看论文了,转专业失败我崩溃了,44,https://www.douban.com/group/topic/181632760/
148,不能被人认出来,211工科生的废物人生,80,https://www.douban.com/group/topic/180878888/
149,金智仁,解答一些组员的问题（更新关于审核相关）,33,https://www.douban.com/group/topic/181699402/
150,慕白,25 海外研究生退学 双向情感障碍 迷茫 求助,62,https://www.douban.com/group/topic/181310790/
151,慕白,25 海外研究生退学 双向情感障碍 迷茫 求助,62,https://www.douban.com/group/topic/181310790/
152,江湖骗子,把小镇做题家当猎奇对象的自媒体进来瞅一眼,105,https://www.douban.com/group/topic/179700275/
153,碲琉璃,河北省衡水市考到帝都211的five来讲下自己的故事,200,https://www.douban.com/group/topic/180102818/
154,反水小王子秦川,做题家们有没有发现父母只有你有出息的时候才喜欢你,60,https://www.douban.com/group/topic/181630447/
155,Aporia,会不会真的有985毕业的学生找不到工作啊😓,208,https://www.douban.com/group/topic/180181254/
156,已注销,大学补考或重修38科,69,https://www.douban.com/group/topic/180783811/
157,玫,我们组快设个难一点的进组暗号吧，什么妖魔鬼怪都进来了,32,https://www.douban.com/group/topic/181649404/
158,Monday,豆瓣是评估了我的发帖记录么,161,https://www.douban.com/group/topic/180597883/
159,thisisit,有兄弟姐妹在家经常写忏悔书的吗,120,https://www.douban.com/group/topic/180779232/
160,你,劝大家不要盲目转行计算机,50,https://www.douban.com/group/topic/181549068/
161,umaso,如何破除跟别人比较的心理？,85,https://www.douban.com/group/topic/181420124/
162,冰焦糖玛奇朵,不想做一个听话的孩子了,48,https://www.douban.com/group/topic/181586762/
163,某Z,性格决定命运这句话太对了,99,https://www.douban.com/group/topic/180202325/
164,亲一口小胖猫,长相，性格，感觉都比那张单薄的学历重要,126,https://www.douban.com/group/topic/179962602/
165,Λίδια,天坑菜鸡转码中学姐分享一下自己踩过的坑（还没上岸（更新实习敲定去哪家的建议,56,https://www.douban.com/group/topic/180479423/
166,你今天拉屎了吗,工作五六年，看着曾经的同学们，其实都挺一事无成的…,76,https://www.douban.com/group/topic/179742178/
167,有匪君子,我去做柜姐行吗,149,https://www.douban.com/group/topic/180421634/
168,宵夜万岁,研究生毕业申请phd因为本科辣鸡绩点被刷掉了,72,https://www.douban.com/group/topic/180682450/
169,李厂长🉑,我觉得上了年纪的人不要拿时代红利来刺激年轻人了吧,27,https://www.douban.com/group/topic/181472934/
170,已注销,【增加数据】开麦。为什么有人不承认这是个艰难的时代？？？,371,https://www.douban.com/group/topic/179407129/
171,人性学习者,你是在哪一个时间节点走错路的？,250,https://www.douban.com/group/topic/180214801/
172,[已注销],如果不考虑外人眼光和生活压力，你最想要从事的是什么工作？,91,https://www.douban.com/group/topic/180989402/
173,uuiuu111,金融好难混,162,https://www.douban.com/group/topic/180315596/
174,长风破浪,求助 沉迷豆瓣小组怎么办,53,https://www.douban.com/group/topic/181411797/
175,thisisit,一人来一句你父母让你窒息的话。（校园剧编剧进来取材）,608,https://www.douban.com/group/topic/179453547/
176,长风破浪,求助 沉迷豆瓣小组怎么办,53,https://www.douban.com/group/topic/181411797/
177,thisisit,一人来一句你父母让你窒息的话。（校园剧编剧进来取材）,608,https://www.douban.com/group/topic/179453547/
178,persistence,关于家乡，其实所有二线城市都面临着一样的问题啦…看着大，实际上就是大县城模式（先吐槽我自己的家乡吧）,113,https://www.douban.com/group/topic/180790663/
179,R0SE-左航,教培行业没有大家想得那么丧心病狂，只要有能力（和学历），这一行的地位和薪资天花板都不低,91,https://www.douban.com/group/topic/180246873/
180,January,会计专业five应该改行去学编曲吗,76,https://www.douban.com/group/topic/181040699/
181,🦜,没有像样的人生规划，985铁five，请大家随便和我说说话吧,39,https://www.douban.com/group/topic/181264926/
182,珺小喵,想当练习生,272,https://www.douban.com/group/topic/179936825/
183,-已注消,【已确诊】积极一点，求推荐书单哈哈,51,https://www.douban.com/group/topic/181473023/
184,sherry,有没有觉得人格健全才是five幸福之路？,95,https://www.douban.com/group/topic/179843745/
185,月亮睡觉了。,无意煽动男女对立，但是想对有些人说，,233,https://www.douban.com/group/topic/179868472/
186,AbigailLeah,神奇的感叹号,55,https://www.douban.com/group/topic/181650192/
187,会长永远的神,屏蔽朋友圈让人心灵清净,23,https://www.douban.com/group/topic/181704237/
188,豆豆,中文系的学生读完硕士之后能有什么工作啊？,45,https://www.douban.com/group/topic/181382477/
189,随便吧,top2经管five+1,202,https://www.douban.com/group/topic/179738630/
190,风水轮lullaby,本five好恨体育网课,25,https://www.douban.com/group/topic/181437432/
191,瑾瑾瑾瑜,毕业三年后，无学位证裸辞准备考研的five,82,https://www.douban.com/group/topic/180733074/
192,好运来,有没有因为反应迟钝性格内向影响做事的fw,46,https://www.douban.com/group/topic/181540839/
193,豆友218336254,我还以为这是失学失业者乐园,85,https://www.douban.com/group/topic/180968455/
194,once,你们都是怎么对抗Peer pressure的,73,https://www.douban.com/group/topic/180991386/
195,killthemoon,分享一则微博💔,59,https://www.douban.com/group/topic/180112990/
196,南斗星君,90后：放弃幻想，准备战斗！,91,https://www.douban.com/group/topic/179784237/
197,南斗星君,中国的90后注定享受不到任何时代红利,416,https://www.douban.com/group/topic/178981690/
198,死在沙滩上的浪,小镇做题家，读研和博是不是意味着悲剧？,150,https://www.douban.com/group/topic/180292975/
199,盘腿小僧,有没有姐妹觉得生活全是苦涩（原生家庭+失败感情经历）,201,https://www.douban.com/group/topic/179495565/
200,一个乱码用户名,985 or 财经大学，哪个是更好的台阶,29,https://www.douban.com/group/topic/181661299/
201,创造营-罗渽民,救命，该强制文科学生必修编程课吗？,140,https://www.douban.com/group/topic/180288113/
202,酒窝橘妹,hr这个工作怎么样，就稳定度和晋升空间来说,61,https://www.douban.com/group/topic/181117818/
203,淡岛月,心比天高命比纸薄的211小镇做题者遭遇心态危机,60,https://www.douban.com/group/topic/181449343/
204,蘑菇射手,接受自己的平庸好难（逛five组真的会加重优越感的崩塌吧）,70,https://www.douban.com/group/topic/180353290/
205,苏米苏儿,985本海硕小语种有五千块的工作就该知足了吗，何况我还没找到,186,https://www.douban.com/group/topic/180145546/
206,夏灼,一线城市的five连退路都没有😭,246,https://www.douban.com/group/topic/179859119/
207,红茶,说点没营养的废话:本组好像已经变成了倒苦水小组,45,https://www.douban.com/group/topic/180436172/
208,江湖骗子,跨越阶级重要吗？,49,https://www.douban.com/group/topic/181402587/
209,灵性疗愈,海归电影学生five给所有想要拍电影的同学一个前车之鉴：要是没有足够的财力和强大的承受压力的精神，还是当成一个兴趣最好,80,https://www.douban.com/group/topic/179968618/
210,兔兔在路上呀,大学退学，打算明年参加2021高考，但是对未来一点想法，大家能给一下大学专业选择的建议吗(补充:本人理科生),333,https://www.douban.com/group/topic/179563317/
211,骆闻舟,更新：楼主成绩改了能读研了！因为论文没达到要求在最后的最后被取消保研资格，招聘季也全都错过了，确实是自己给自己挖坑,96,https://www.douban.com/group/topic/180427935/
212,已注销,现在连微信弹出新消息都会感觉心惊,33,https://www.douban.com/group/topic/181050578/
213,梨,跟二本同事相处的一些堵心瞬间，就当是一个矫情的树洞OTZ,35,https://www.douban.com/group/topic/181660894/
214,额额,关于内卷，,68,https://www.douban.com/group/topic/180033964/
215,张酸,我是不是个傻子,102,https://www.douban.com/group/topic/180506494/
216,麒麟,知乎，是知乎吧,11,https://www.douban.com/group/topic/181683656/
217,无可救药的颜控,有没有温室five感觉自己对不起父母,68,https://www.douban.com/group/topic/180309056/
218,都市丽人杨玉环,有物质欲望很强的five吗,16,https://www.douban.com/group/topic/181725023/
219,Popov,其实还蛮羡慕大家...,35,https://www.douban.com/group/topic/181127289/
220,对韭当割,说说我对废物的理解，以及脱坑之路,59,https://www.douban.com/group/topic/179524067/
221,咩咩咩,已经不和爸妈要生活费了，快活不下去了,125,https://www.douban.com/group/topic/180105316/
222,哈皮,来比一比谁的专业更冷门吧,506,https://www.douban.com/group/topic/179382393/
223,心态时好时坏,【高考志愿科普第N弹】城乡规划，纸上画画——城规专业到底是干什么的,68,https://www.douban.com/group/topic/180755744/
224,江浸月,一个想法：在当前社会/学校长于“树立榜样”的观念和舆论下，是不是真正的非five只能是少数人,14,https://www.douban.com/group/topic/181616557/
225,+,为什么所有的事情总是要堆到ddl前呢,44,https://www.douban.com/group/topic/180633745/
226,平底锅与rose,书的意义,28,https://www.douban.com/group/topic/181296468/
227,水清木华,为新闻专业正名！,20,https://www.douban.com/group/topic/181600224/
228,木曼,对小镇做题家来讲，读大学的几年好像一个美丽的梦,203,https://www.douban.com/group/topic/179304302/
229,toxic,做题家的一种能力,13,https://www.douban.com/group/topic/181730195/
230,阿蘺,我觉得我们five的主要原因是平价体系太单一,12,https://www.douban.com/group/topic/181690202/
231,关上写论文去,我觉得很多组员不是真废物，是imposter syndrome,46,https://www.douban.com/group/topic/180986750/
232,豆友216479732,bdjw世界上还有哪个国家跟窝巢一样考研热，全民考研吗？,127,https://www.douban.com/group/topic/179890457/
233,xytl,看到这几天沸沸扬扬的山东高考顶替事件新闻，想起来我当年高考分数也有疑点（一个高龄废物的人生,35,https://www.douban.com/group/topic/181620368/
234,梨,来讨论一下各行各业的性别歧视？,65,https://www.douban.com/group/topic/180814061/
235,芝士没有笔,为什么都默认组内five都是小镇做题家啊？,109,https://www.douban.com/group/topic/180061124/
236,不样你找到,硕士毕业误入yh，现已裸辞,31,https://www.douban.com/group/topic/181329961/
237,sherry,觉得自己从小到大最成功的一件事是什么？,109,https://www.douban.com/group/topic/180424135/
238,冰火菠萝油,一线城市吊车尾211理工科，海外经济学硕士（今年qs20+），毕业两年多一线城市月入6000+（别赞了,87,https://www.douban.com/group/topic/180167540/
239,[已注销],大概只有我读到phd了还这么five吧，我退学了,114,https://www.douban.com/group/topic/179815263/
240,rhskcie,【有更新】抑郁延毕三战的【人生重启】经验分享,73,https://www.douban.com/group/topic/179238082/
241,远山影,大胆开麦：同样是小镇做题家，生的越早越好,66,https://www.douban.com/group/topic/180113469/
242,。。。,一手好牌打烂的five,20,https://www.douban.com/group/topic/181541530/
243,Jinx,删,69,https://www.douban.com/group/topic/180725891/
244,输入框aw,985工科硕的考公之路(已上岸)+经验分享,18,https://www.douban.com/group/topic/181471820/
245,木蒙柒,学英语的five有吗…,163,https://www.douban.com/group/topic/179785544/
246,黑黑绿绿稻草人,有没有被爸妈宠成five的。。,163,https://www.douban.com/group/topic/179659358/
247,姬如紫♀,表姐女儿4岁多，有一次。。。,9,https://www.douban.com/group/topic/181371686/
248,苦苦泡芙,你们到底有完没完？？？,161,https://www.douban.com/group/topic/179574605/
249,endgame,请问five们的感情生活都顺利嘛？,211,https://www.douban.com/group/topic/179755500/
250,甜甜的雨季,985本财经硕 最近陷入废物人设无法自拔了,32,https://www.douban.com/group/topic/181517599/
251,开始裸奔,真想告诉学弟学妹一定试试免费师范生啊,144,https://www.douban.com/group/topic/179665497/
252,jack will,心情不好的时候，大家都是怎么发泄的呢,25,https://www.douban.com/group/topic/181228534/
253,妖精，放了我爷,为啥没人说机械这个垃圾专业,69,https://www.douban.com/group/topic/180749693/
254,就是个路人,近些年一直宣传给大学生“增压”，给大家带来了什么变化吗？,97,https://www.douban.com/group/topic/180095084/
255,君子,“文人相轻”的感觉压过了对知识交流的敬畏感,36,https://www.douban.com/group/topic/180842969/
256,墨沫酱,虽然说行行都转CS，但是互联网内卷开始严重了，给组里简单科普一些方便大家转方向吧,110,https://www.douban.com/group/topic/179429729/
257,芊雨,每天写作业写到吐的真实大三生活,28,https://www.douban.com/group/topic/181109673/
258,Wow,很多都是教育体制人才选拔的问题，大家父母本都是普通人,7,https://www.douban.com/group/topic/181703790/
259,TFBOYS-刘能,感觉上大学什么都没学到,66,https://www.douban.com/group/topic/180158311/
260,Chelsea,小语种专业有哪些出路,21,https://www.douban.com/group/topic/181440149/
261,SKAM2020,进组方式改啦！！！(请管理员把组规置顶),13,https://www.douban.com/group/topic/181693941/
262,阿欣,妄图通过搞科研逃避社交的社恐five是否弄错了什么,25,https://www.douban.com/group/topic/181252358/
263,刀尖入水,父母都在工地,21,https://www.douban.com/group/topic/180941128/
264,LANDFILL,所以人生到底有什么盼头？,86,https://www.douban.com/group/topic/180352668/
265,momo,有没有总是刷手机、做事效率低的five...,62,https://www.douban.com/group/topic/180638806/
266,JELIN。,劳动的异化带来的后果是教育的异化,5,https://www.douban.com/group/topic/181530233/
267,可别是个小妖怪,我想去流水线当工人,77,https://www.douban.com/group/topic/180011672/
268,友情万岁,211本&日本研 提醒大家自制力不好&日语不好 别去日本留学,256,https://www.douban.com/group/topic/179172803/
269,八月谎君,你的five和原生家庭有关吗？,75,https://www.douban.com/group/topic/180265441/
270,umaso,废物组不是为了找建议，好为人师高高在上想教育人变废为宝爹味十足的请出门右转咨询组,10,https://www.douban.com/group/topic/181699255/
